Description,Part,References,Value,Footprint,Quantity,Digi-Key_PN
"Unpolarized capacitor, small symbol",C_Small,C62 C63,15pF,C_0805_2012Metric,2,311-4165-1-ND
"Unpolarized capacitor, small symbol",C_Small,C42 C43,27pF,C_0805_2012Metric,2,478-10518-1-ND
"Unpolarized capacitor, small symbol",C_Small,C4 C8 C12 C16 C19 C22 C25 C28,220pF,C_0805_2012Metric,8,399-1138-1-ND
"Unpolarized capacitor, small symbol",C_Small,C3 C7 C11 C15 C30 C31 C32 C33 C34 C35 C52,10nF,C_0805_2012Metric,11,311-1136-1-ND
"Unpolarized capacitor, small symbol",C_Small,C1 C5 C9 C13 C17 C20 C23 C26,47nF,C_0805_2012Metric,8,399-1166-1-ND
"Unpolarized capacitor, small symbol",C_Small,C2 C6 C10 C14 C18 C21 C24 C27 C29 C36 C38 C39 C40 C41 C44 C45 C46 C47 C48 C49 C50 C54 C55 C61 C64 C65,100nF,C_0805_2012Metric,26,478-1395-1-ND
"Unpolarized capacitor, small symbol",C_Small,C37 C53,1uF,C_0805_2012Metric,2,311-1365-1-ND
"Unpolarized capacitor, small symbol",C_Small,C51,4.7uF,C_0805_2012Metric,1,1276-2873-1-ND
"Unpolarized capacitor, small symbol",C_Small,C59,10uF,C_0805_2012Metric,1,490-18663-1-ND
"Polarized capacitor, US symbol",CP1,C60,0.47F/3.5V,FC0V474ZFTBR24,1,399-10942-1-ND
"Unpolarized capacitor, small symbol",C_Small,C58,100nF/16V,C_0805_2012Metric,1,478-1395-1-ND
"Unpolarized capacitor, small symbol",C_Small,C56,10uF/50V,C_0805_2012Metric,1,490-18663-1-ND
"Unpolarized capacitor, small symbol",C_Small,C57,22uF/16V,C_0805_2012Metric,1,490-10749-1-ND
"Zener diode, small symbol",D_Zener_Small,D2 D4 D6 D8 D9 D10 D11 D12 D36,3V,D_SOD-323_HandSoldering,9,MMSZ4683T1GOSCT-ND
schottky barrier diode,BAT54S,D14 D15 D16 D17 D18 D19 D40,BAT54S,SOT-23,7,BAT54SLT1GOSCT-ND
DIODE SCHOTTKY 40V 1A SMA,SS14,D1 D3 D5 D7,BYG23M,DO-214AC,4,BYG23M-E3/TR3GICT-ND
"Light emitting diode, small symbol",LED_Small,D32 D43,GRN,LED_0805_2012Metric,2,475-1410-1-ND
TVS DIODE 24V 44V SOT23-3,NUP2105LT1G,D13,NUP2105LT1G,SOT-23-3,1,NUP2105LT1GOSCT-ND
"Light emitting diode, small symbol",LED_Small,D33 D34,ORG,LED_0805_2012Metric,2,475-2488-1-ND
"Light emitting diode, small symbol",LED_Small,D35 D42 D44,RED,LED_0805_2012Metric,3,475-1278-1-ND
Bidirectional transient-voltage-suppression diode,D_TVS,D37,SMCJ20CA,DO-214AB_TVS,1,SMCJ20CABCT-ND
Schottky diode,D_Schottky,D38 D39 D41,Schottky,D_SOD-123,3,1727-2394-1-ND
"Light emitting diode, small symbol",LED_Small,D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D30 D31,YEL,LED_0805_2012Metric,12,475-2560-1-ND
"Ferrite bead, small symbol",Ferrite_Bead_Small,FB1,Ferrite_Bead_Small,R_0805_2012Metric,1,490-1054-1-ND
,DRT_Logo,G1,DRT_Logo,DRTLogo,1,
,DRT_Logo,G2,DingoFace,DingoFaceNoFill,1,
,DTM1312PA12PBR008,J3,DTM1312PA12PBR008,TE_DTM1312PA12PBR008,1,1734-1131-ND
,RedCubeTerminal,J1,RedCubeTerminal,M6_Hole_8Pin_7461084,1,732-3203-ND
"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J5,SHORT,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,
"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",Conn_ARM_JTAG_SWD_10,J4,SWD_10,PinHeader_2x5_P1.27_SMD,1,609-3695-1-ND
USB Full-Featured Type-C Receptacle connector,USB_C_Receptacle,J2,USB_C_Receptacle,USB_C_Receptacle_GCT_USB4085,1,2073-USB4085-GF-ACT-ND
"Resistor, small US symbol",R_Small_US,R61 R62,0R,R_0805_2012Metric,2,RMCF0805ZT0R00CT-ND
"Resistor, small US symbol",R_Small_US,R103,100R,R_0805_2012Metric,1,311-100CRCT-ND
"Resistor, small US symbol",R_Small_US,R91 R92 R93 R99,120R,R_0805_2012Metric,4,311-120CRCT-ND
"Resistor, small US symbol",R_Small_US,R65 R72 R73 R74 R75 R77 R78 R79 R80 R81 R82 R83 R84 R85 R86 R87,560R,R_0805_2012Metric,16,311-560ARCT-ND
"Resistor, small US symbol",R_Small_US,R98,1k,R_0805_2012Metric,1,311-1.0KARCT-ND
"Resistor, small US symbol",R_Small_US,R3 R9 R15 R21 R29 R37 R45 R53,1.2K,R_0805_2012Metric,8,311-1.20KCRCT-ND
"Resistor, small US symbol",R_Small_US,R88,1.5K,R_0805_2012Metric,1,311-1.50KCRCT-ND
"Resistor, small US symbol",R_Small_US,R1 R2 R5 R6 R7 R8 R11 R12 R13 R14 R17 R18 R19 R20 R23 R24 R25 R26 R27 R28 R31 R32 R33 R34 R35 R36 R39 R40 R41 R42 R43 R44 R47 R48 R49 R50 R51 R52 R55 R56 R66 R67 R68 R89 R90 R94,4.7K,R_0805_2012Metric,46,311-4.70KCRCT-ND
"Resistor, small US symbol",R_Small_US,R58 R59 R60 R63 R64 R69 R70 R71 R76 R95 R96 R97 R100 R101 R102 R104 R105 R106,10k,R_0805_2012Metric,18,311-10.0KCRDKR-ND
"Resistor, small US symbol",R_Small_US,R57,47k,R_0805_2012Metric,1,311-47.0KCRCT-ND
"Resistor, small US symbol",R_Small_US,R4 R10 R16 R22 R30 R38 R46 R54,47R 1/4W,R_1206_3216Metric,8,RMCF1206FT4R70CT-ND 311-47.0FRCT-ND
SWITCH TACTILE SPST-NO 0.05A 24V,FSM4JSMATR,S1,RESET_SW,Switch_Tactile_SMD_6x6mm,1,CKN9084CT-ND
"Switch, single pole double throw",SW_SPDT,SW1 SW2 SW3,SW_SPDT,CJS-1200TB,3,563-1022-1-ND
"Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",ADS1015IDGS,U16 U17 U21 U23,ADS1115,VSSOP-10_3x3mm_P0.5mm,4,
,BTS7008-2EPA,U6 U7 U8 U9,BTS7008-2EPA,TDSO-14,4,BTS70082EPAXUMA1CT-ND
,BTS700n-1EPP,U2 U3 U4 U5,BTS700n-1EPP,TDSO-14,4,BTS70021EPPXUMA1CT-ND
,ISP752R,U20,ISP752R,PG-DSO-8,1,ISP752RFUMA1CT-ND
IC REG LINEAR 3.3V 800MA SOT223,LD1117S33CTR,U18,LD1117S33CTR,SOT-223,1,497-1241-1-ND
,MB85RC256V,U15,MB85RC256V,SOIC-8_3.9x4.9mm_P1.27mm,1,865-1261-1-ND
"High-Speed CAN Transceiver, 1Mbps, 5V supply, SOIC-8",MCP2551-I-SN,U19,MCP2551,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551T-I/SNCT-ND
,MCP9808,U10,MCP9808,MSOP-8_3x3mm_P0.65mm,1,MCP9808T-E/MSCT-ND
"IO expander 16 GPIO, I2C 400kHz, Interrupt, 2.3 - 5.5V, TSSOP-24",PCA9555PW,U12 U13,PCA9555PW,TSSOP-24_4.4x7.8mm_P0.65mm,2,568-1058-1-ND
"16-bit PWM Fm+ I2C-bus LED driver, TSSOP-28",PCA9635,U14,PCA9635,TSSOP-28_4.4x9.7mm_P0.65mm,1,568-4067-1-ND
"ARM Cortex-M4 MCU, 256KB flash, 40KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",STM32F303CCTx,U11,STM32F303CCTx,LQFP-48_7x7mm_P0.5mm,1,497-13318-ND
,VXO780x-500-M,U22,VXO780x-500-M,VXO78x-500-M,1,102-VXO7805-500-M-CT-ND
IC FLASH 32M SPI 133MHZ 8SOIC,W25Q32JVSSIQ_TR,U1,W25Q32JVSSIQ_TR,SOIC-8_W5.6mm,1,W25Q32JVSSIQCT-ND
Two pin crystal,Crystal,Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,535-9808-1-ND
Two pin crystal,Crystal,Y1,8mHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,535-10630-1-ND
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
59,,,,,,
252,,,,,,
252,,,,,,
1,,,,,,
252,,,,,,
v2,,,,,,
2020-10-15,,,,,,
[u'default'],,,,,,
10/16/2020 2:02:19 AM,,,,,,
DingoPDM.sch,,,,,,
Eeschema (5.1.6)-1,,,,,,
