Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,23.622000,-44.450000,180.000000,top
C2,100nF,C_0805_2012Metric,-27.813000,-34.036000,0.000000,top
C3,10uF,C_0805_2012Metric,-22.799000,-34.036000,180.000000,top
C4,22uF,C_0805_2012Metric,-32.766000,-42.926000,90.000000,top
C5,100nF,C_0805_2012Metric,-16.002000,-47.117000,90.000000,top
C6,10uF,C_0805_2012Metric,-11.557000,-38.354000,180.000000,top
C7,27pF,C_0805_2012Metric,4.013200,-59.207400,180.000000,top
C8,27pF,C_0805_2012Metric,7.721600,-59.207400,0.000000,top
C9,100nF,C_0805_2012Metric,-12.700000,16.002000,90.000000,top
C10,47nF,C_0805_2012Metric,12.954000,13.020000,-90.000000,top
C11,100nF,C_0805_2012Metric,14.935200,-37.084000,0.000000,top
C12,100nF,C_0805_2012Metric,0.155600,-48.096800,180.000000,top
C13,100nF,C_0805_2012Metric,2.223200,-34.584000,0.000000,top
C14,4.7uF,C_0805_2012Metric,0.140400,-50.230400,180.000000,top
C15,100nF,C_0805_2012Metric,13.843000,-53.086000,180.000000,top
C16,1uF,C_0805_2012Metric,13.843000,-55.245000,180.000000,top
C17,100nF,C_0805_2012Metric,-14.158000,-26.924000,180.000000,top
C18,1uF,C_0805_2012Metric,-27.734500,-16.891000,90.000000,top
C19,10nF,C_0805_2012Metric,17.272000,-31.811000,180.000000,top
C20,10nF,C_0805_2012Metric,18.034000,-28.763000,-90.000000,top
C21,100nF,C_0805_2012Metric,26.416000,-59.182000,0.000000,top
C22,47nF,C_0805_2012Metric,6.604000,-13.208000,90.000000,top
C23,100nF,C_0805_2012Metric,16.256000,-15.240000,180.000000,top
C24,10nF,C_0805_2012Metric,22.860000,-9.144000,180.000000,top
C25,220pF,C_0805_2012Metric,11.176000,-23.302000,-90.000000,top
C26,47nF,C_0805_2012Metric,-15.748000,-15.240000,0.000000,top
C27,100nF,C_0805_2012Metric,-6.604000,-13.208000,90.000000,top
C28,10nF,C_0805_2012Metric,-22.860000,-9.144000,0.000000,top
C29,220pF,C_0805_2012Metric,-11.684000,-23.368000,-90.000000,top
C30,47nF,C_0805_2012Metric,-4.064000,-13.208000,90.000000,top
C31,100nF,C_0805_2012Metric,4.064000,-13.208000,90.000000,top
C32,220pF,C_0805_2012Metric,1.524000,-26.416000,180.000000,top
C33,100nF,C_0805_2012Metric,15.240000,15.748000,-90.000000,top
C34,220pF,C_0805_2012Metric,10.541000,24.638000,-90.000000,top
C35,47nF,C_0805_2012Metric,4.064000,12.954000,-90.000000,top
C36,100nF,C_0805_2012Metric,-4.064000,12.954000,-90.000000,top
C37,220pF,C_0805_2012Metric,1.778000,24.638000,-90.000000,top
C38,4.7uF,C_0805_2012Metric,16.423600,-39.268400,0.000000,top
C39,100nF,C_0805_2012Metric,17.587000,-46.228000,0.000000,top
C40,100nF,C_0805_2012Metric,29.972000,-45.593000,0.000000,top
D1,3.3V,D_SOD-323_HandSoldering,23.368000,-46.609000,180.000000,top
D2,SMCJ20CA,DO-214AB_TVS,-33.655000,-30.586000,-90.000000,top
D3,GRN,LED_0805_2012Metric,-16.002000,-37.084000,-90.000000,top
D4,NUP2105LT1G,SOT-23-3,-8.874800,11.221200,-90.000000,top
D5,RED,LED_0805_2012Metric,-23.495000,-19.685000,180.000000,top
D6,BAT54S,SOT-23,21.234400,-32.573000,180.000000,top
D7,BAT54S,SOT-23,21.211300,-28.829000,180.000000,top
D8,BYG23M,DO-214AC,22.860000,-6.096000,0.000000,top
D9,3.3V,D_SOD-323_HandSoldering,14.224000,-22.352000,180.000000,top
D10,BYG23M,DO-214AC,-23.368000,-6.096000,180.000000,top
D11,3.3V,D_SOD-323_HandSoldering,-8.128000,-22.352000,180.000000,top
D12,3.3V,D_SOD-323_HandSoldering,1.016000,-22.352000,180.000000,top
D13,3.3V,D_SOD-323_HandSoldering,7.874000,21.844000,0.000000,top
D14,3.3V,D_SOD-323_HandSoldering,-1.016000,21.844000,0.000000,top
D15,Schottky,D_SOD-123,-17.906000,-53.340000,0.000000,top
D16,GRN,LED_0805_2012Metric,32.258000,-60.452000,180.000000,top
D17,RED,LED_0805_2012Metric,21.590000,-59.182000,180.000000,top
FB1,Ferrite_Bead_Small,R_0805_2012Metric,13.819500,-51.054000,180.000000,top
R1,47K,R_0805_2012Metric,28.829000,-41.529000,-90.000000,top
R2,10K,R_0805_2012Metric,26.035000,-42.291000,180.000000,top
R3,120R,R_0805_2012Metric,-16.002000,-40.741600,-90.000000,top
R4,10K,R_0805_2012Metric,-2.794000,-49.098200,90.000000,top
R5,1K,R_0805_2012Metric,-12.700000,19.558000,-90.000000,top
R6,10K,R_0805_2012Metric,-15.367000,-22.606000,180.000000,top
R7,10K,R_0805_2012Metric,-15.367000,-24.765000,180.000000,top
R8,120R,R_0805_2012Metric,-27.305000,-19.685000,180.000000,top
R9,4.7K,R_0805_2012Metric,18.796000,-25.781000,0.000000,top
R10,4.7K,R_0805_2012Metric,24.384000,-31.811000,90.000000,top
R11,120R,R_0805_2012Metric,18.669000,-53.086000,0.000000,top
R12,120R,R_0805_2012Metric,18.692500,-57.150000,0.000000,top
R13,4.7K,R_0805_2012Metric,9.144000,-19.304000,-90.000000,top
R14,4.7K,R_0805_2012Metric,11.176000,-19.304000,-90.000000,top
R15,1.2K,R_0805_2012Metric,13.208000,-19.304000,-90.000000,top
R16,47R 1/4W,R_1206_3216Metric,6.858000,-18.796000,90.000000,top
R17,4.7K,R_0805_2012Metric,15.240000,-19.304000,90.000000,top
R18,4.7K,R_0805_2012Metric,14.732000,-24.384000,0.000000,top
R19,4.7K,R_0805_2012Metric,-13.208000,-19.304000,-90.000000,top
R20,4.7K,R_0805_2012Metric,-11.176000,-19.304000,-90.000000,top
R21,1.2K,R_0805_2012Metric,-9.144000,-19.304000,-90.000000,top
R22,47R 1/4W,R_1206_3216Metric,-15.748000,-18.796000,90.000000,top
R23,4.7K,R_0805_2012Metric,-7.112000,-19.304000,90.000000,top
R24,4.7K,R_0805_2012Metric,-8.128000,-24.384000,0.000000,top
R25,120R,R_0805_2012Metric,18.669000,-55.118000,0.000000,top
R26,4.7K,R_0805_2012Metric,-3.048000,-22.860000,-90.000000,top
R27,4.7K,R_0805_2012Metric,-2.032000,-19.304000,-90.000000,top
R28,4.7K,R_0805_2012Metric,4.064000,-19.304000,90.000000,top
R29,4.7K,R_0805_2012Metric,5.080000,-22.860000,-90.000000,top
R30,1.2K,R_0805_2012Metric,0.000000,-19.304000,-90.000000,top
R31,47R 1/4W,R_1206_3216Metric,-4.572000,-18.857500,90.000000,top
R32,4.7K,R_0805_2012Metric,2.032000,-19.304000,90.000000,top
R33,4.7K,R_0805_2012Metric,1.524000,-24.384000,0.000000,top
R34,4.7K,R_0805_2012Metric,13.335000,20.701000,0.000000,top
R35,4.7K,R_0805_2012Metric,16.205200,22.707600,0.000000,top
R36,4.7K,R_0805_2012Metric,13.335000,26.797000,180.000000,top
R37,4.7K,R_0805_2012Metric,13.335000,28.829000,0.000000,top
R38,1.2K,R_0805_2012Metric,8.890000,19.050000,90.000000,top
R39,47R 1/4W,R_1206_3216Metric,12.954000,17.272000,-90.000000,top
R40,4.7K,R_0805_2012Metric,6.858000,19.050000,-90.000000,top
R41,4.7K,R_0805_2012Metric,7.723500,23.876000,180.000000,top
R42,120R,R_0805_2012Metric,18.669000,-51.054000,0.000000,top
R43,4.7K,R_0805_2012Metric,20.701000,27.940000,0.000000,top
R44,4.7K,R_0805_2012Metric,20.701000,29.972000,0.000000,top
R45,4.7K,R_0805_2012Metric,-1.270000,27.559000,180.000000,top
R46,4.7K,R_0805_2012Metric,-1.270000,29.718000,0.000000,top
R47,1.2K,R_0805_2012Metric,0.000000,19.050000,90.000000,top
R48,47R 1/4W,R_1206_3216Metric,4.064000,17.210500,-90.000000,top
R49,4.7K,R_0805_2012Metric,-2.032000,19.050000,-90.000000,top
R50,4.7K,R_0805_2012Metric,-1.119500,23.876000,180.000000,top
R51,120R,R_0805_2012Metric,18.669000,-49.022000,0.000000,top
R52,120R,R_0805_2012Metric,17.018000,-60.452000,0.000000,top
R53,120R,R_0805_2012Metric,12.954000,-59.436000,0.000000,top
R56,33K,R_0805_2012Metric,-7.620000,-53.189500,90.000000,top
R57,82K,R_0805_2012Metric,-5.461000,-53.213000,-90.000000,top
U2,LD1117S33CTR,SOT-223,-11.338600,-44.094000,0.000000,top
U3,PCA82C250,SOIC-8_3.9x4.9mm_P1.27mm,-8.813800,18.302200,-90.000000,top
U4,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,7.378000,-42.686600,90.000000,top
U5,MB85RC256V,SOIC-8_3.9x4.9mm_P1.27mm,-13.397000,-30.861000,0.000000,top
U6,MCP9808,MSOP-8_3x3mm_P0.65mm,-23.162500,-16.383000,180.000000,top
U7,LM324,TSSOP-14_4.4x5mm_P0.65mm,26.611500,-55.327000,180.000000,top
U8,BTS700n-1EPP,TDSO-14,11.144800,-12.700000,90.000000,top
U9,BTS700n-1EPP,TDSO-14,-10.922000,-12.700000,90.000000,top
U10,BTS7008-2EPA,TDSO-14,8.960400,12.552800,-90.000000,top
U11,BTS7008-2EPA,TDSO-14,0.082000,-12.700000,90.000000,top
U12,LM324,TSSOP-14_4.4x5mm_P0.65mm,29.845000,-49.530000,180.000000,top
U13,BTS7008-2EPA,TDSO-14,0.010400,12.654400,-90.000000,top
Y1,8mHz,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,5.842000,-55.854600,0.000000,top
